datetime,generationPower,year,month,day,hour,minute,dayofweek,dayofyear,time_idx,date
2024-06-01 21:05:00,0.0,2024,6,1,21,5,5,153,1395.0,2024-06-01
2024-06-01 21:10:00,0.0,2024,6,1,21,10,5,153,1400.0,2024-06-01
2024-06-01 21:15:00,0.0,2024,6,1,21,15,5,153,1405.0,2024-06-01
2024-06-01 21:20:00,0.0,2024,6,1,21,20,5,153,1410.0,2024-06-01
2024-06-01 21:25:00,0.0,2024,6,1,21,25,5,153,1415.0,2024-06-01
2024-06-01 21:30:00,0.0,2024,6,1,21,30,5,153,1420.0,2024-06-01
2024-06-01 21:35:00,0.0,2024,6,1,21,35,5,153,1425.0,2024-06-01
2024-06-01 21:40:00,0.0,2024,6,1,21,40,5,153,1430.0,2024-06-01
2024-06-01 21:45:00,0.0,2024,6,1,21,45,5,153,1435.0,2024-06-01
2024-06-01 21:50:00,13904.0,2024,6,1,21,50,5,153,1440.0,2024-06-01
2024-06-01 21:55:00,26616.0,2024,6,1,21,55,5,153,1445.0,2024-06-01
2024-06-01 22:00:00,0.0,2024,6,1,22,0,5,153,1450.0,2024-06-01
2024-06-01 22:05:00,1461.68,2024,6,1,22,5,5,153,1455.0,2024-06-01
2024-06-01 22:10:00,1490.24,2024,6,1,22,10,5,153,1460.0,2024-06-01
2024-06-01 22:15:00,1553.98,2024,6,1,22,15,5,153,1465.0,2024-06-01
2024-06-01 22:20:00,1647.07,2024,6,1,22,20,5,153,1470.0,2024-06-01
2024-06-01 22:25:00,1676.87,2024,6,1,22,25,5,153,1475.0,2024-06-01
2024-06-01 22:30:00,1774.95,2024,6,1,22,30,5,153,1480.0,2024-06-01
2024-06-01 22:35:00,2029.33,2024,6,1,22,35,5,153,1485.0,2024-06-01
2024-06-01 22:40:00,2352.6800000000003,2024,6,1,22,40,5,153,1490.0,2024-06-01
2024-06-01 22:45:00,1678.78,2024,6,1,22,45,5,153,1495.0,2024-06-01
2024-06-01 22:50:00,1818.77,2024,6,1,22,50,5,153,1500.0,2024-06-01
2024-06-01 22:55:00,2029.54,2024,6,1,22,55,5,153,1505.0,2024-06-01
2024-06-01 23:00:00,2277.64,2024,6,1,23,0,5,153,1510.0,2024-06-01
2024-06-01 23:05:00,2713.86,2024,6,1,23,5,5,153,1515.0,2024-06-01
2024-06-01 23:10:00,2885.43,2024,6,1,23,10,5,153,1520.0,2024-06-01
2024-06-01 23:15:00,3360.01,2024,6,1,23,15,5,153,1525.0,2024-06-01
2024-06-01 23:20:00,4028.75,2024,6,1,23,20,5,153,1530.0,2024-06-01
2024-06-01 23:25:00,4139.05,2024,6,1,23,25,5,153,1535.0,2024-06-01
